1001,2024-05-01,2024-05-05,Shipped,12134353,150.00
1002,2024-05-03,2024-05-10,Processing,23894729,200.00
1003,2024-05-05,2024-05-12,Delivered,87432904,300.00
1004,2024-05-07,2024-05-15,Canceled,56290837,400.00
1005,2024-05-09,2024-05-17,Returned,34789012,250.00
1006,2024-05-11,2024-05-18,Shipped,90875634,350.00
1007,2024-05-13,2024-05-20,Processing,67983245,450.00
1008,2024-05-15,2024-05-22,Delivered,45329087,500.00
1009,2024-05-17,2024-05-24,Shipped,12983475,600.00
1010,2024-05-19,2024-05-26,Processing,76348219,700.00
